CROP TYPE,SOIL TYPE,REGION,TEMPERATURE,WEATHER CONDITION,WATER REQUIREMENT IN LITRES,Pressure (hg),Humidity (%),Crop Age (days),Irrigation Type,Soil Moisture (%),Pump Status
BANANA,DRY,SEMI HUMID,19.71181339,RAINY,0.1,1002.420468,2,6,Drip Irrigation,79.93318119,Off
BANANA,WET,SEMI ARID,13.48594946,WINDY,5.3,1012.601752,12,58,Drip Irrigation,61.54445804,Off
BANANA,HUMID,DESERT,29.44606795,NORMAL,7.7,1010.165913,20,69,Drip Irrigation,58.32137232,Off
BANANA,WET,SEMI ARID,13.48594946,WINDY,5.3,1012.601752,12,58,Drip Irrigation,61.54445804,Off
BANANA,HUMID,SEMI HUMID,38.85324399,WINDY,7.5,1001.17653,41,84,Drip Irrigation,59.74185412,Off
BANANA,DRY,SEMI HUMID,27.52587167,WINDY,8.8,1019.260945,49,66,Drip Irrigation,45.10511661,Off
BANANA,HUMID,DESERT,29.44606795,NORMAL,7.7,1010.165913,20,69,Drip Irrigation,58.32137232,Off
BANANA,WET,HUMID,18.89026869,RAINY,0.1,1011.068398,39,2,Drip Irrigation,85.28037303,Off
BANANA,DRY,DESERT,38.8794712,RAINY,2.75,1019.24934,46,7,Drip Irrigation,73.15998272,Off
BANANA,HUMID,SEMI ARID,17.65865144,WINDY,6.9,1006.11789,21,60,Drip Irrigation,60.73383469,Off
BANANA,WET,SEMI HUMID,43.53606034,WINDY,7.5,1009.06458,10,82,Drip Irrigation,53.91071467,Off
BANANA,DRY,SEMI HUMID,19.71181339,RAINY,0.1,1002.420468,2,6,Drip Irrigation,79.93318119,Off
BANANA,HUMID,HUMID,43.38667998,SUNNY,6.65,1020.147279,29,77,Drip Irrigation,45.51349281,Off
BANANA,HUMID,DESERT,38.05852894,RAINY,0.7,1003.686348,1,25,Drip Irrigation,58.20877088,Off
BANANA,HUMID,SEMI ARID,19.4263118,SUNNY,7.42,1023.65189,47,38,Drip Irrigation,65.34338033,Off
BANANA,DRY,HUMID,19.44924655,WINDY,6.6,1015.126781,1,80,Drip Irrigation,49.66771593,Off
BANANA,DRY,SEMI HUMID,16.12090886,SUNNY,8.45,1009.45869,29,36,Drip Irrigation,66.78791573,Off
BANANA,HUMID,SEMI HUMID,19.62408337,NORMAL,4.89,1011.835873,27,18,Drip Irrigation,77.14098855,Off
BANANA,DRY,HUMID,11.862823,NORMAL,5.65,1009.498107,13,73,Drip Irrigation,52.53795514,Off
BANANA,WET,SEMI ARID,10.38310291,SUNNY,5.87,1005.195596,20,84,Drip Irrigation,74.45904934,Off
BANANA,HUMID,HUMID,45.13692624,NORMAL,5.15,1000.010039,8,86,Drip Irrigation,56.28764558,Off
BANANA,WET,HUMID,49.10550223,NORMAL,5.15,1018.453769,12,53,Drip Irrigation,53.69410092,Off
BANANA,DRY,HUMID,36.12689596,NORMAL,7.68,1013.544008,9,75,Drip Irrigation,54.59081457,Off
BANANA,HUMID,SEMI ARID,47.21419563,NORMAL,8.92,1011.059844,2,52,Drip Irrigation,49.45080865,Off
BANANA,HUMID,SEMI HUMID,45.49688151,NORMAL,7.5,1021.569269,11,68,Drip Irrigation,47.41878637,Off
BANANA,DRY,SEMI ARID,29.51027777,RAINY,0.98,1015.73048,27,3,Drip Irrigation,72.89810282,Off
BANANA,WET,HUMID,46.44724148,RAINY,0.2,1005.381096,6,3,Drip Irrigation,63.45255944,Off
BANANA,DRY,HUMID,38.28043364,WINDY,8.6,1019.153928,11,55,Drip Irrigation,51.99749106,Off
BANANA,WET,SEMI HUMID,14.60012886,NORMAL,3.34,1015.984661,50,29,Drip Irrigation,89.47224088,Off
BANANA,WET,SEMI HUMID,27.3375388,NORMAL,4.4,1022.193788,29,25,Drip Irrigation,72.45797286,Off
BANANA,HUMID,HUMID,43.38667998,SUNNY,6.65,1020.147279,29,77,Drip Irrigation,45.51349281,Off
BANANA,DRY,SEMI ARID,29.51027777,RAINY,0.98,1015.73048,27,3,Drip Irrigation,72.89810282,Off
BANANA,HUMID,SEMI ARID,27.75393184,RAINY,0.5,1021.483124,1,23,Drip Irrigation,59.66231657,Off
BANANA,HUMID,HUMID,11.0857441,SUNNY,5.15,1006.632127,17,43,Drip Irrigation,59.14188482,Off
BANANA,DRY,SEMI ARID,23.4804843,NORMAL,8.98,1014.524215,42,82,Drip Irrigation,56.340682,Off
BANANA,WET,SEMI ARID,14.93343427,RAINY,0.1,1013.622042,34,18,Drip Irrigation,73.07857542,Off
BANANA,WET,SEMI HUMID,43.53606034,WINDY,7.5,1009.06458,10,82,Drip Irrigation,53.91071467,Off
BANANA,WET,SEMI HUMID,43.53606034,WINDY,7.5,1009.06458,10,82,Drip Irrigation,53.91071467,Off
BANANA,WET,SEMI HUMID,32.38349128,RAINY,0.2,1024.171639,16,17,Drip Irrigation,79.14564824,Off
BANANA,WET,HUMID,40.73815111,SUNNY,6.65,1004.728467,44,89,Drip Irrigation,49.25972938,Off
BANANA,WET,DESERT,20.04730867,SUNNY,7.65,1016.039492,34,80,Drip Irrigation,59.81341543,Off
BANANA,HUMID,DESERT,11.87062953,SUNNY,8.2,1023.349685,38,86,Drip Irrigation,57.91434195,Off
BANANA,HUMID,HUMID,31.57010858,SUNNY,6.5,1006.407309,17,84,Drip Irrigation,46.91139303,Off
BANANA,WET,DESERT,12.93330409,RAINY,0.2,1008.017804,18,1,Drip Irrigation,78.23726941,Off
BANANA,WET,SEMI ARID,43.72953145,WINDY,8.2,1012.186696,50,73,Drip Irrigation,59.87628749,Off
BANANA,DRY,DESERT,41.23240085,RAINY,3.75,1006.758715,38,6,Drip Irrigation,70.9432094,Off
BANANA,DRY,SEMI HUMID,39.47637378,NORMAL,8.95,1012.536037,20,60,Drip Irrigation,44.14685076,Off
BANANA,DRY,DESERT,12.84537815,NORMAL,8.75,1003.157087,21,89,Drip Irrigation,68.55118368,Off
BANANA,HUMID,SEMI HUMID,46.69116951,WINDY,8.5,1020.310341,47,75,Drip Irrigation,52.43944274,Off
BANANA,DRY,DESERT,38.8794712,RAINY,2.75,1019.24934,46,7,Drip Irrigation,73.15998272,Off
BANANA,HUMID,HUMID,20.55270648,WINDY,5.65,1001.097027,2,38,Drip Irrigation,64.92504078,Off
BANANA,WET,HUMID,20.31819534,RAINY,0.1,1012.058905,45,25,Drip Irrigation,83.11458051,Off
BANANA,WET,HUMID,14.75311762,SUNNY,3.56,1000.982299,41,15,Drip Irrigation,74.13591017,Off
BANANA,DRY,SEMI ARID,14.74857391,RAINY,0.25,1007.860853,37,0,Drip Irrigation,93.15717081,Off
BANANA,DRY,SEMI HUMID,19.71181339,RAINY,0.1,1002.420468,2,6,Drip Irrigation,79.93318119,Off
BANANA,WET,SEMI HUMID,23.28134732,SUNNY,5.9,1001.014643,44,38,Drip Irrigation,55.96553413,Off
BANANA,WET,SEMI ARID,24.57189199,SUNNY,6.8,1023.710629,34,78,Drip Irrigation,50.92110535,Off
BANANA,HUMID,SEMI HUMID,33.10836861,RAINY,0.5,1016.713667,11,28,Drip Irrigation,67.33309472,Off
BANANA,WET,HUMID,49.10550223,NORMAL,5.15,1018.453769,12,53,Drip Irrigation,53.69410092,Off
BANANA,WET,HUMID,14.75311762,SUNNY,3.56,1000.982299,41,15,Drip Irrigation,74.13591017,Off
BANANA,HUMID,SEMI ARID,49.10607812,RAINY,0.92,1008.463851,49,22,Drip Irrigation,70.57954013,Off
BANANA,DRY,HUMID,38.28043364,WINDY,8.6,1019.153928,11,55,Drip Irrigation,51.99749106,Off
BANANA,DRY,SEMI ARID,14.74857391,RAINY,0.25,1007.860853,37,0,Drip Irrigation,93.15717081,Off
BANANA,WET,SEMI HUMID,19.72914985,RAINY,0.1,1006.867626,33,23,Drip Irrigation,73.26779535,Off
BANANA,HUMID,HUMID,43.38667998,SUNNY,6.65,1020.147279,29,77,Drip Irrigation,45.51349281,Off
BANANA,HUMID,SEMI HUMID,19.62408337,NORMAL,4.89,1011.835873,27,18,Drip Irrigation,77.14098855,Off
BANANA,WET,DESERT,19.31577036,WINDY,6.15,1008.874878,13,49,Drip Irrigation,56.40485634,Off
BANANA,HUMID,SEMI ARID,47.21419563,NORMAL,8.92,1011.059844,2,52,Drip Irrigation,49.45080865,Off
BANANA,HUMID,SEMI ARID,37.02333072,WINDY,8.9,1010.583951,40,45,Drip Irrigation,49.91670041,Off
BANANA,WET,DESERT,24.41805507,NORMAL,6.15,1024.0979,20,44,Drip Irrigation,62.49804136,Off
BANANA,HUMID,HUMID,37.86806676,WINDY,6,1004.760337,20,33,Drip Irrigation,57.42852327,Off
BANANA,WET,HUMID,20.31819534,RAINY,0.1,1012.058905,45,25,Drip Irrigation,83.11458051,Off
BANANA,WET,SEMI ARID,43.72953145,WINDY,8.2,1012.186696,50,73,Drip Irrigation,59.87628749,Off
BANANA,HUMID,SEMI ARID,28.52623145,SUNNY,8.42,1022.377129,29,57,Drip Irrigation,54.38141087,Off
BANANA,WET,SEMI HUMID,13.14479166,WINDY,4.4,1010.757911,40,10,Drip Irrigation,70.40626015,Off
BANANA,HUMID,HUMID,24.3324993,SUNNY,6.15,1001.262687,38,39,Drip Irrigation,62.16198843,Off
BANANA,HUMID,HUMID,24.3324993,SUNNY,6.15,1001.262687,38,39,Drip Irrigation,62.16198843,Off
BANANA,DRY,DESERT,12.84537815,NORMAL,8.75,1003.157087,21,89,Drip Irrigation,68.55118368,Off
BANANA,WET,SEMI HUMID,19.72914985,RAINY,0.1,1006.867626,33,23,Drip Irrigation,73.26779535,Off
BANANA,HUMID,DESERT,38.05852894,RAINY,0.7,1003.686348,1,25,Drip Irrigation,58.20877088,Off
BANANA,HUMID,SEMI ARID,28.7423191,WINDY,7.9,1024.301337,20,55,Drip Irrigation,57.68150498,Off
BANANA,WET,SEMI ARID,33.95515315,NORMAL,6.3,1001.949847,7,49,Drip Irrigation,50.35572682,Off
BANANA,WET,HUMID,36.63251606,WINDY,5.1,1004.844728,10,52,Drip Irrigation,46.12955882,Off
BANANA,DRY,HUMID,46.31816286,NORMAL,8.65,1023.682672,27,41,Drip Irrigation,59.85341722,Off
BANANA,DRY,SEMI HUMID,39.47637378,NORMAL,8.95,1012.536037,20,60,Drip Irrigation,44.14685076,Off
BANANA,WET,SEMI ARID,13.48594946,WINDY,5.3,1012.601752,12,58,Drip Irrigation,61.54445804,Off
BANANA,WET,DESERT,12.93330409,RAINY,0.2,1008.017804,18,1,Drip Irrigation,78.23726941,Off
BANANA,DRY,SEMI HUMID,39.47637378,NORMAL,8.95,1012.536037,20,60,Drip Irrigation,44.14685076,Off
BANANA,HUMID,HUMID,37.86806676,WINDY,6,1004.760337,20,33,Drip Irrigation,57.42852327,Off
BANANA,WET,HUMID,29.60543103,SUNNY,4.5,1006.149994,41,26,Drip Irrigation,64.09084624,Off
BANANA,WET,HUMID,46.44724148,RAINY,0.2,1005.381096,6,3,Drip Irrigation,63.45255944,Off
BANANA,WET,HUMID,14.75311762,SUNNY,3.56,1000.982299,41,15,Drip Irrigation,74.13591017,Off
BANANA,WET,SEMI ARID,10.38310291,SUNNY,5.87,1005.195596,20,84,Drip Irrigation,74.45904934,Off
BANANA,HUMID,DESERT,42.55217122,RAINY,1.5,1023.442615,11,1,Drip Irrigation,77.23414526,Off
BANANA,WET,DESERT,12.48153083,SUNNY,6.65,1012.121468,7,37,Drip Irrigation,68.87914025,Off
BANANA,DRY,SEMI HUMID,19.71181339,RAINY,0.1,1002.420468,2,6,Drip Irrigation,79.93318119,Off
BANANA,DRY,SEMI ARID,14.74857391,RAINY,0.25,1007.860853,37,0,Drip Irrigation,93.15717081,Off
BANANA,WET,DESERT,49.10579434,RAINY,0.15,1003.512475,15,25,Drip Irrigation,77.30137584,Off
BANANA,HUMID,DESERT,16.30692731,WINDY,7.7,1004.589491,45,54,Drip Irrigation,43.06720659,Off
BANANA,HUMID,HUMID,21.6048458,RAINY,0.2,1018.00933,25,6,Drip Irrigation,72.83536597,Off
BANANA,WET,SEMI ARID,41.58724969,SUNNY,8.7,1003.963006,4,85,Drip Irrigation,59.22402105,Off
BANANA,DRY,HUMID,22.79435439,WINDY,7.6,1004.410298,6,66,Drip Irrigation,54.13378652,Off
BANANA,HUMID,DESERT,11.87062953,SUNNY,8.2,1023.349685,38,86,Drip Irrigation,57.91434195,Off
BANANA,WET,HUMID,36.29519272,NORMAL,4.1,1017.571661,50,1,Drip Irrigation,68.054717,Off
BANANA,WET,DESERT,12.48153083,SUNNY,6.65,1012.121468,7,37,Drip Irrigation,68.87914025,Off
BANANA,DRY,HUMID,25.37046386,RAINY,0.3,1020.318323,47,26,Drip Irrigation,68.53672831,Off
BANANA,WET,HUMID,40.73815111,SUNNY,6.65,1004.728467,44,89,Drip Irrigation,49.25972938,Off
BANANA,DRY,SEMI HUMID,16.12090886,SUNNY,8.45,1009.45869,29,36,Drip Irrigation,66.78791573,Off
BANANA,DRY,HUMID,25.37046386,RAINY,0.3,1020.318323,47,26,Drip Irrigation,68.53672831,Off
BANANA,DRY,HUMID,22.79435439,WINDY,7.6,1004.410298,6,66,Drip Irrigation,54.13378652,Off
BANANA,DRY,SEMI ARID,14.74857391,RAINY,0.25,1007.860853,37,0,Drip Irrigation,93.15717081,Off
BANANA,DRY,HUMID,14.88944823,SUNNY,7.15,1012.54839,50,69,Drip Irrigation,55.83427823,Off
BANANA,WET,SEMI ARID,33.95515315,NORMAL,6.3,1001.949847,7,49,Drip Irrigation,50.35572682,Off
BANANA,HUMID,SEMI ARID,14.54581241,RAINY,0.1,1003.289133,2,26,Drip Irrigation,73.00146938,Off
BANANA,WET,SEMI ARID,33.95515315,NORMAL,6.3,1001.949847,7,49,Drip Irrigation,50.35572682,Off
BANANA,DRY,HUMID,25.22481258,NORMAL,6.6,1012.160126,33,35,Drip Irrigation,45.40902639,Off
BANANA,WET,HUMID,35.06937838,RAINY,0.1,1005.364121,39,7,Drip Irrigation,72.92435295,Off
BANANA,HUMID,SEMI HUMID,46.69116951,WINDY,8.5,1020.310341,47,75,Drip Irrigation,52.43944274,Off
BANANA,WET,HUMID,40.73815111,SUNNY,6.65,1004.728467,44,89,Drip Irrigation,49.25972938,Off
BANANA,HUMID,SEMI HUMID,43.4587999,RAINY,0.8,1021.334893,4,8,Drip Irrigation,70.0857414,Off
BANANA,HUMID,DESERT,29.44606795,NORMAL,7.7,1010.165913,20,69,Drip Irrigation,58.32137232,Off
BANANA,WET,HUMID,42.20899764,WINDY,6.15,1014.337294,5,79,Drip Irrigation,47.76435262,Off
BANANA,DRY,DESERT,17.32647667,SUNNY,10.25,1023.644412,8,107,Sprinkler Irrigation,40.30449429,Off
BANANA,WET,HUMID,29.60543103,SUNNY,4.5,1006.149994,41,26,Drip Irrigation,64.09084624,Off
BANANA,DRY,DESERT,41.23240085,RAINY,3.75,1006.758715,38,6,Drip Irrigation,70.9432094,Off
BANANA,WET,HUMID,20.92435608,WINDY,4,1013.302171,2,14,Drip Irrigation,85.61973907,Off
BANANA,WET,HUMID,49.10550223,NORMAL,5.15,1018.453769,12,53,Drip Irrigation,53.69410092,Off
BANANA,WET,SEMI HUMID,23.28134732,SUNNY,5.9,1001.014643,44,38,Drip Irrigation,55.96553413,Off
BANANA,HUMID,HUMID,43.38667998,SUNNY,6.65,1020.147279,29,77,Drip Irrigation,45.51349281,Off
BANANA,WET,HUMID,19.29837212,WINDY,3,1016.372678,28,4,Drip Irrigation,73.84761556,Off
BANANA,WET,SEMI HUMID,32.75463528,SUNNY,7.04,1019.732266,20,43,Drip Irrigation,58.8014172,Off
BANANA,DRY,SEMI ARID,29.51027777,RAINY,0.98,1015.73048,27,3,Drip Irrigation,72.89810282,Off
BANANA,HUMID,HUMID,14.63094583,WINDY,4.65,1022.598827,44,4,Drip Irrigation,85.81471437,Off
BANANA,WET,SEMI ARID,41.58724969,SUNNY,8.7,1003.963006,4,85,Drip Irrigation,59.22402105,Off
BANANA,WET,SEMI HUMID,27.3375388,NORMAL,4.4,1022.193788,29,25,Drip Irrigation,72.45797286,Off
BANANA,HUMID,HUMID,37.86806676,WINDY,6,1004.760337,20,33,Drip Irrigation,57.42852327,Off
BANANA,WET,HUMID,25.94894746,NORMAL,3,1023.722905,0,29,Drip Irrigation,64.58156972,Off
BANANA,WET,HUMID,42.20899764,WINDY,6.15,1014.337294,5,79,Drip Irrigation,47.76435262,Off
BANANA,WET,DESERT,36.02577364,WINDY,8.1,1002.363909,9,49,Drip Irrigation,41.71935413,Off
BANANA,WET,SEMI ARID,20.22435123,WINDY,6.3,1021.061603,42,82,Drip Irrigation,62.9903785,Off
BANANA,HUMID,HUMID,29.97116891,NORMAL,4.65,1013.80845,10,4,Drip Irrigation,73.85009691,Off
BANANA,HUMID,DESERT,42.55217122,RAINY,1.5,1023.442615,11,1,Drip Irrigation,77.23414526,Off
BANANA,DRY,HUMID,14.88944823,SUNNY,7.15,1012.54839,50,69,Drip Irrigation,55.83427823,Off
BANANA,HUMID,SEMI ARID,21.24182291,NORMAL,6.92,1007.556918,2,37,Drip Irrigation,50.94059756,Off
BANANA,WET,HUMID,20.92435608,WINDY,4,1013.302171,2,14,Drip Irrigation,85.61973907,Off
BANANA,WET,HUMID,20.92435608,WINDY,4,1013.302171,2,14,Drip Irrigation,85.61973907,Off
BANANA,DRY,DESERT,18.4921372,RAINY,0.75,1019.366823,28,10,Drip Irrigation,70.07040989,Off
BANANA,WET,HUMID,29.60543103,SUNNY,4.5,1006.149994,41,26,Drip Irrigation,64.09084624,Off
BANANA,DRY,HUMID,46.31816286,NORMAL,8.65,1023.682672,27,41,Drip Irrigation,59.85341722,Off
BANANA,HUMID,SEMI HUMID,46.69116951,WINDY,8.5,1020.310341,47,75,Drip Irrigation,52.43944274,Off
BANANA,HUMID,SEMI ARID,17.65865144,WINDY,6.9,1006.11789,21,60,Drip Irrigation,60.73383469,Off
BANANA,WET,DESERT,24.41805507,NORMAL,6.15,1024.0979,20,44,Drip Irrigation,62.49804136,Off
BANANA,HUMID,SEMI HUMID,17.84494322,RAINY,0.1,1016.547539,13,24,Drip Irrigation,65.61601863,Off
BANANA,WET,SEMI ARID,10.38310291,SUNNY,5.87,1005.195596,20,84,Drip Irrigation,74.45904934,Off
BANANA,WET,SEMI HUMID,32.38349128,RAINY,0.2,1024.171639,16,17,Drip Irrigation,79.14564824,Off
BANANA,HUMID,HUMID,20.55270648,WINDY,5.65,1001.097027,2,38,Drip Irrigation,64.92504078,Off
BANANA,WET,SEMI ARID,25.03384387,NORMAL,5.3,1007.08768,42,57,Drip Irrigation,44.86898898,Off
BANANA,WET,SEMI HUMID,43.53606034,WINDY,7.5,1009.06458,10,82,Drip Irrigation,53.91071467,Off
BANANA,DRY,HUMID,22.79435439,WINDY,7.6,1004.410298,6,66,Drip Irrigation,54.13378652,Off
BANANA,HUMID,SEMI HUMID,33.43097619,NORMAL,6.5,1013.298324,21,76,Drip Irrigation,50.92607966,Off
BANANA,DRY,SEMI HUMID,39.47637378,NORMAL,8.95,1012.536037,20,60,Drip Irrigation,44.14685076,Off
BANANA,WET,SEMI HUMID,47.01239428,NORMAL,6.52,1013.164874,28,72,Drip Irrigation,55.1293614,Off
BANANA,WET,SEMI ARID,41.58724969,SUNNY,8.7,1003.963006,4,85,Drip Irrigation,59.22402105,Off
BANANA,HUMID,SEMI ARID,21.24182291,NORMAL,6.92,1007.556918,2,37,Drip Irrigation,50.94059756,Off
BANANA,WET,SEMI HUMID,47.01239428,NORMAL,6.52,1013.164874,28,72,Drip Irrigation,55.1293614,Off
BANANA,HUMID,SEMI HUMID,22.43415471,RAINY,0.2,1002.993999,2,1,Drip Irrigation,84.53575841,Off
BANANA,WET,SEMI HUMID,47.01239428,NORMAL,6.52,1013.164874,28,72,Drip Irrigation,55.1293614,Off
BANANA,HUMID,SEMI ARID,14.54581241,RAINY,0.1,1003.289133,2,26,Drip Irrigation,73.00146938,Off
BANANA,WET,SEMI HUMID,47.01239428,NORMAL,6.52,1013.164874,28,72,Drip Irrigation,55.1293614,Off
BANANA,WET,HUMID,20.92435608,WINDY,4,1013.302171,2,14,Drip Irrigation,85.61973907,Off
BANANA,WET,HUMID,36.63251606,WINDY,5.1,1004.844728,10,52,Drip Irrigation,46.12955882,Off
BANANA,WET,DESERT,24.41805507,NORMAL,6.15,1024.0979,20,44,Drip Irrigation,62.49804136,Off
BANANA,HUMID,HUMID,33.14949854,RAINY,0.3,1016.748837,27,22,Drip Irrigation,68.23956606,Off
BANANA,DRY,SEMI ARID,42.41201346,RAINY,2.7,1012.075353,26,3,Drip Irrigation,76.47935119,Off
BANANA,DRY,SEMI HUMID,20.31978744,NORMAL,7.95,1011.901418,13,68,Drip Irrigation,64.55571409,Off
BANANA,HUMID,SEMI ARID,47.21419563,NORMAL,8.92,1011.059844,2,52,Drip Irrigation,49.45080865,Off
BANANA,DRY,SEMI ARID,14.74857391,RAINY,0.25,1007.860853,37,0,Drip Irrigation,93.15717081,Off
